"year","sex","tbalc","carc","prsc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
51,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
52,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
53,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
54,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
55,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
56,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
57,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
58,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
59,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
60,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
